,,,,,,,,,,,,,,,,,,,,,,,,,
MR Application,,,,,,,,,,,,,,,,,,,,,,,,,
Participant,I found the application easy to use.,The devices representation was realistic.,The application was helpful in creating and testing automations.,I found it easy to envision the effects of what I added/changed.,I was able to create the devices and automations in a fast and convenient time.,I found it easy to create the devices and automations with the application.,I could imagine using a similar system for Smart Home planing in the future.,The interaction with virtual devices was realistic and easy.,The MR application improved the understanding of the placement and functionality of devices.,The MR application has facilitated the planning and visualisation of smart home scenarios.,What aspects of the application did you find most enjoyable or engaging?,Where there any challenges or difficulties while using the application?,Where there any advantages or disadvantages of the MR app compared to the desktop application?,Are there any specific features or functionalities that you would like to see added?,Is there anything else you would like to share about your experience using the mixed reality application?,,,,,,,,,,
1,5,5,5,5,5,5,5,5,5,5,Die sehr einfache Handhabung und Veranschaulichung ,nein ,nein,nein,für einen Anfänger eine sehr einfache und überaus zweckmäßige Möglichkeit ein Smarthome zu entwerfen,,,,,,,,,,
2,2,4,2,4,3,3,3,3,3,3,"die Funktion zum ""wenn, dann""",no,no,no,no,,,,,,,,,,
3,5,5,5,5,5,5,5,3,5,5,"the planning in MR was really cool, fun and actually helped envision the smart home objects in the room",placing the objects was a bit hard as they always rotated when i just wanted to move them,Advantage: more fun and easier to plan as it is directly in the room but with the desktop application there was more functionality in terms of automation ,when saving the blinds a visual feedback would be nice if saving actually worked,-,,,,,,,,,,
4,3,2,4,4,4,3,1,2,3,5,"to see/hear the change. when the speakers are turned on they do play music, if lights are turned on, they light the room","hand interaction is not precise, there is no snappping, so it was hard to find the correct rotation of objects. some objects were completely black so it was hard to guess where the front and where the back was.","Objects and changes can be seen directly in the room, not only as 2d representation","automations could be visualized in 3d, so you do not only work on a 2d tablet but fully utilize the advantages of AR by displaying the connections or make changes directly in the room",it was definitely more fun than creating a similar system only on desktop,,,,,,,,,,
5,5,5,4,4,5,4,3,5,4,4,Die echte Umgebung.,Die Gewöhnung an die Bedienung der Application.,Der Vorteil der App war die nutzung der echten Umgebung.,Keine,Nein,,,,,,,,,,
6,4,5,5,4,5,5,4,4,4,4,Die Lautsprecher fand ich gut und die Animation und die Echtheit des bewegenden Rollos waren sehr toll,Ich habe erst nicht verstanden das ich die Automationen selber programmieren musste aber nachdem ich dies verstanden hatte ging alles wie von selber ,"Es war sehr realistisch und einfach zu handhaben, jedoch war man auch ein wenig eingeschränkt was die Raumgestaltung anging da der Raum kleiner war aber ich fand es dennioch besser und ein gutes Eerlebnis",Ich fand es so gut wie es war. Daran sollte man nichts ändern müssen.,Keine weiteren Anmerkungen ,,,,,,,,,,
7,4,5,4,3,5,5,5,5,4,4,die realistische Darstellung,man muss sich an die Handbewegungen gewöhnen ,/,/,/,,,,,,,,,,
8,4,5,4,5,5,4,5,5,4,5,mehrere geräte mit einem knopfdruck bedienen zu können ,nein,--,eventuell rolladen betätigen oder tv/alexa/o.ä. an,no i like it,,,,,,,,,,
9,4,4,4,3,4,5,5,4,5,4,placing and activating realistic objects,"scrolling panels with gesture control is quite hard, text was not scaling well when resizing the panel",i knew where I placed which object and could see them which is better than just pictures while creating the automations,maybe objects snapping to the real environment,it is fun to use and rewarding to see an automation working like expected,,,,,,,,,,
10,5,5,5,5,5,5,4,4,4,5,Looking and playing with the virtual objects,precisely placing the objects was not easy,MR was a lot more intuitive than desktop. The automation IU was easier and simpler to use,A button to turn off passthrough so that one could fully enjoy the virtual room one has created,-,,,,,,,,,,
