,,,,,,,
MR Application,,,,,,,
,1,2,3,4,5,6,
1,5,1,2,2,11,8,24.16666667
2,9,9,9,8,9,13,47.5
3,1,1,1,5,2,1,9.166666667
4,9,3,2,3,9,2,23.33333333
5,4,1,2,4,3,1,12.5
6,14,1,6,9,8,5,35.83333333
7,7,0,2,10,7,13,32.5
8,14,0,7,6,12,10,40.83333333
9,9,5,4,3,12,4,30.83333333
10,0,10,0,4,5,0,15.83333333
11,3,3,3,10,3,2,20
12,15,15,15,18,16,16,79.16666667
13,4,2,2,3,2,0,10.83333333
14,6,1,1,2,4,1,12.5
15,2,5,1,6,1,1,13.33333333
16,8,4,3,5,3,3,21.66666667
17,6,6,7,8,7,5,32.5
18,3,2,1,4,4,2,13.33333333
19,7,3,4,9,6,8,30.83333333
20,9,7,8,6,9,7,38.33333333
21,5,4,6,7,5,4,25.83333333
Ergebnis,27.18253968,,,,,,
Web Application,,,,,,,
,1,2,3,4,5,6,
1,15,0,0,18,18,20,59.16666667
2,10,10,0,17,3,20,50
3,3,1,3,5,3,4,15.83333333
4,5,4,2,15,15,3,36.66666667
5,2,0,1,7,2,1,10.83333333
6,8,10,3,7,8,5,34.16666667
7,10,3,6,0,12,10,34.16666667
8,5,1,2,2,11,8,24.16666667
9,14,0,0,13,7,12,38.33333333
10,13,1,2,19,8,16,49.16666667
11,5,2,4,4,7,15,30.83333333
12,3,1,2,6,2,15,24.16666667
13,4,0,1,5,7,4,17.5
14,2,2,1,2,2,1,8.333333333
15,15,10,12,16,14,13,66.66666667
16,8,3,2,9,7,4,27.5
17,12,6,4,13,9,8,43.33333333
18,9,5,7,10,6,7,36.66666667
19,4,2,1,7,3,2,15.83333333
20,11,8,5,12,10,9,45.83333333
21,7,4,3,8,5,6,27.5
Ergebnis,33.17460317,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
